threshold, avg_num_keypoints
6.500000000000000000e+01,2.615206896551724276e+04
7.000000000000000000e+01,2.214244827586206884e+04
7.500000000000000000e+01,1.878027586206896376e+04
8.000000000000000000e+01,1.592775862068965580e+04
8.500000000000000000e+01,1.352606896551724094e+04
9.000000000000000000e+01,1.145779310344827536e+04
9.500000000000000000e+01,9.674241379310344200e+03
1.000000000000000000e+02,8.149206896551723730e+03
1.050000000000000000e+02,6.814275862068965580e+03
1.100000000000000000e+02,5.647586206896551630e+03
1.150000000000000000e+02,4.643206896551723730e+03
1.200000000000000000e+02,3.774482758620689765e+03
1.250000000000000000e+02,3.035758620689655345e+03
1.300000000000000000e+02,2.412103448275861865e+03
1.350000000000000000e+02,1.892793103448275815e+03
1.400000000000000000e+02,1.457827586206896513e+03
1.450000000000000000e+02,1.106241379310344882e+03
1.500000000000000000e+02,8.342068965517241850e+02
